date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:01:19	14126/14126	---M--	200	added ('OK')	image/png	etag:%22372e-5de6e0d9%22	http://publish.uwo.ca/~rmoir3/_images/histogram-BL-crop.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/histogram-BL-crop.png	(from http://publish.uwo.ca/~rmoir3/class1.html)
06:01:20	21272/21272	---M--	200	added ('OK')	image/gif	etag:%225318-5de6e0d7%22	http://publish.uwo.ca/~rmoir3/_images/Gospers_glider_gun.gif	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/Gospers_glider_gun.gif	(from http://publish.uwo.ca/~rmoir3/class1.html)
06:01:20	10168/10168	---M--	200	added ('OK')	text/plain	etag:%2227b8-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class2.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class2.rst.txt	(from http://publish.uwo.ca/~rmoir3/class2.html)
06:01:21	10081/10081	---M--	200	added ('OK')	text/plain	etag:%222761-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class3.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class3.rst.txt	(from http://publish.uwo.ca/~rmoir3/class3.html)
06:01:22	8323/8323	---M--	200	added ('OK')	text/plain	etag:%222083-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_sources/class4.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class4.rst.txt	(from http://publish.uwo.ca/~rmoir3/class4.html)
06:01:23	3999/3999	---M--	200	added ('OK')	text/plain	etag:%22f9f-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_sources/class5.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class5.rst.txt	(from http://publish.uwo.ca/~rmoir3/class5.html)
06:01:24	3765/3765	---M--	200	added ('OK')	text/plain	etag:%22eb5-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class6.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class6.rst.txt	(from http://publish.uwo.ca/~rmoir3/class6.html)
06:01:25	7115/7115	---M--	200	added ('OK')	text/plain	etag:%221bcb-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_sources/class7.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class7.rst.txt	(from http://publish.uwo.ca/~rmoir3/class7.html)
06:01:26	52629/52629	---M--	200	added ('OK')	image/jpeg	etag:%22cd95-5de6e0d6%22	http://publish.uwo.ca/~rmoir3/_images/machine.jpeg	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/machine.jpg	(from http://publish.uwo.ca/~rmoir3/class2.html)
06:01:27	40042/40042	---M--	200	added ('OK')	image/jpeg	etag:%229c6a-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_images/dolls.jpeg	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/dolls.jpg	(from http://publish.uwo.ca/~rmoir3/class4.html)
06:01:28	12898/12898	---M--	200	added ('OK')	text/plain	etag:%223262-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class8.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class8.rst.txt	(from http://publish.uwo.ca/~rmoir3/class8.html)
06:01:28	11345/11345	---M--	200	added ('OK')	text/plain	etag:%222c51-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class9.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class9.rst.txt	(from http://publish.uwo.ca/~rmoir3/class9.html)
06:01:29	2428/2428	---M--	200	added ('OK')	application/zip	etag:%2297c-5de6e0dd%22	http://publish.uwo.ca/~rmoir3/_downloads/13c91219800b35e43fcdad784118b281/airports.zip	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_downloads/13c91219800b35e43fcdad784118b281/airports.zip	(from http://publish.uwo.ca/~rmoir3/class10.html)
06:01:29	4790/4790	---M--	200	added ('OK')	text/plain	etag:%2212b6-5de6e0db%22	http://publish.uwo.ca/~rmoir3/_downloads/f3332c3195d26cdff44ede85fecf0f21/airports.csv	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_downloads/f3332c3195d26cdff44ede85fecf0f21/airports.csv	(from http://publish.uwo.ca/~rmoir3/class10.html)
06:01:29	9258/9258	---M--	200	added ('OK')	text/plain	etag:%22242a-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class10.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class10.rst.txt	(from http://publish.uwo.ca/~rmoir3/class10.html)
06:01:30	3453/3453	---M--	200	added ('OK')	text/plain	etag:%22d7d-5de6e0db%22	http://publish.uwo.ca/~rmoir3/_downloads/eeb3b308a841b1ac3e34fb8185afb709/sports_data.csv	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_downloads/eeb3b308a841b1ac3e34fb8185afb709/sports_data.csv	(from http://publish.uwo.ca/~rmoir3/class11.html)
06:01:30	1437/1437	---M--	200	added ('OK')	application/zip	etag:%2259d-5de6e0e9%22	http://publish.uwo.ca/~rmoir3/_downloads/30746e6beadb4ff895fb6f526e04d916/sports_data.zip	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_downloads/30746e6beadb4ff895fb6f526e04d916/sports_data.zip	(from http://publish.uwo.ca/~rmoir3/class11.html)
06:01:30	9273/9273	---M--	200	added ('OK')	text/plain	etag:%222439-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_sources/class11.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class11.rst.txt	(from http://publish.uwo.ca/~rmoir3/class11.html)
06:01:31	1198/1198	---M--	200	added ('OK')	text/plain	etag:%224ae-5de6e0dc%22	http://publish.uwo.ca/~rmoir3/_downloads/259694e1b95d619f35af7fe50ee1b363/PlottingExample.py	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_downloads/259694e1b95d619f35af7fe50ee1b363/PlottingExample.py	(from http://publish.uwo.ca/~rmoir3/class11.html)
06:01:32	5433/5433	---M--	200	added ('OK')	text/plain	etag:%221539-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_sources/class12.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class12.rst.txt	(from http://publish.uwo.ca/~rmoir3/class12.html)
06:01:35	24398/24398	---M--	200	added ('OK')	image/png	etag:%225f4e-5de6e0d9%22	http://publish.uwo.ca/~rmoir3/_images/2017_searches.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/2017_searches.png	(from http://publish.uwo.ca/~rmoir3/class11.html)
06:01:35	17012/17012	---M--	200	added ('OK')	image/jpeg	etag:%224274-5de6e0d7%22	http://publish.uwo.ca/~rmoir3/_images/you_are_here.jpeg	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/you_are_here.jpg	(from http://publish.uwo.ca/~rmoir3/class12.html)
